product_name,category,price,quantity,date,customer_name,customer_email
Lego Set,Toys,517.08,5,2003-12-01,Bob Smith,bob.smith@example.com
Lego Set,Toys,65.37,3,2003-07-07,David White,david.white@example.com
Microwave,Home & Kitchen,298.7,5,2003-05-10,Emma Davis,emma.davis@example.com
Toaster,Home & Kitchen,544.17,1,2003-01-22,Emma Davis,emma.davis@example.com
Cooking Book,Books,282.38,5,2003-03-22,Bob Smith,bob.smith@example.com
Fiction Book,Books,323.35,3,2003-05-19,Charlie Brown,charlie.brown@example.com
Vacuum Cleaner,Home & Kitchen,578.73,1,2003-01-19,Alice Johnson,alice.johnson@example.com
Board Game,Toys,600.98,3,2003-02-15,Alice Johnson,alice.johnson@example.com
History Book,Books,590.9,5,2003-02-27,David White,david.white@example.com
History Book,Books,249.23,4,2003-01-17,Alice Johnson,alice.johnson@example.com
Microwave,Home & Kitchen,625.92,2,2003-08-27,Alice Johnson,alice.johnson@example.com
Shoes,Clothing,912.51,3,2003-12-06,Bob Smith,bob.smith@example.com
Microwave,Home & Kitchen,421.73,5,2003-02-04,Charlie Brown,charlie.brown@example.com
Camera,Electronics,481.2,2,2003-04-12,Bob Smith,bob.smith@example.com
Vacuum Cleaner,Home & Kitchen,565.24,4,2003-07-09,Bob Smith,bob.smith@example.com
Vacuum Cleaner,Home & Kitchen,849.68,5,2003-04-16,Bob Smith,bob.smith@example.com
Board Game,Toys,273.64,3,2003-02-03,David White,david.white@example.com
Puzzle,Toys,339.07,3,2003-05-19,Alice Johnson,alice.johnson@example.com
Puzzle,Toys,847.74,2,2003-05-27,Bob Smith,bob.smith@example.com
Cooking Book,Books,348.42,2,2003-07-25,Bob Smith,bob.smith@example.com
Blender,Home & Kitchen,816.91,5,2003-11-16,David White,david.white@example.com
Camera,Electronics,576.3,3,2003-01-22,Alice Johnson,alice.johnson@example.com
Toaster,Home & Kitchen,598.12,3,2003-02-04,Emma Davis,emma.davis@example.com
Lego Set,Toys,689.47,1,2003-02-13,Bob Smith,bob.smith@example.com
Microwave,Home & Kitchen,467.62,5,2003-08-12,Bob Smith,bob.smith@example.com
Microwave,Home & Kitchen,918.9,2,2003-03-24,Charlie Brown,charlie.brown@example.com
Laptop,Electronics,610.14,3,2003-08-15,David White,david.white@example.com
Phone,Electronics,922.29,2,2003-09-13,Charlie Brown,charlie.brown@example.com
Laptop,Electronics,503.69,1,2003-06-11,Bob Smith,bob.smith@example.com
Lego Set,Toys,396.1,2,2003-12-06,Charlie Brown,charlie.brown@example.com
Doll,Toys,577.93,3,2003-09-08,Emma Davis,emma.davis@example.com
Doll,Toys,74.26,5,2003-07-14,Emma Davis,emma.davis@example.com
Tablet,Electronics,542.86,3,2003-05-28,Charlie Brown,charlie.brown@example.com
Phone,Electronics,105.39,1,2003-11-07,Alice Johnson,alice.johnson@example.com
Vacuum Cleaner,Home & Kitchen,226.03,3,2003-06-07,Charlie Brown,charlie.brown@example.com
Tablet,Electronics,204.78,2,2003-02-13,David White,david.white@example.com
Science Book,Books,380.22,3,2003-04-27,Charlie Brown,charlie.brown@example.com
Vacuum Cleaner,Home & Kitchen,573.33,4,2003-01-01,David White,david.white@example.com
Microwave,Home & Kitchen,148.74,1,2003-09-11,Emma Davis,emma.davis@example.com
Jeans,Clothing,123.72,5,2003-01-12,Bob Smith,bob.smith@example.com
Microwave,Home & Kitchen,272.86,4,2003-01-04,Alice Johnson,alice.johnson@example.com
Phone,Electronics,593.67,2,2003-04-02,Emma Davis,emma.davis@example.com
Doll,Toys,344.56,1,2003-12-02,Emma Davis,emma.davis@example.com
Blender,Home & Kitchen,17.59,3,2003-12-10,David White,david.white@example.com
Toaster,Home & Kitchen,958.66,5,2003-06-21,David White,david.white@example.com
Board Game,Toys,273.01,2,2003-04-20,Emma Davis,emma.davis@example.com
Vacuum Cleaner,Home & Kitchen,94.27,3,2003-05-14,Alice Johnson,alice.johnson@example.com
Fiction Book,Books,316.89,1,2003-11-04,Alice Johnson,alice.johnson@example.com
Camera,Electronics,347.31,3,2003-06-17,Bob Smith,bob.smith@example.com
Blender,Home & Kitchen,365.98,3,2003-06-10,Alice Johnson,alice.johnson@example.com
Shirt,Clothing,488.07,4,2003-08-07,David White,david.white@example.com
Blender,Home & Kitchen,926.87,3,2003-11-11,Charlie Brown,charlie.brown@example.com
Fiction Book,Books,57.58,3,2003-03-19,Bob Smith,bob.smith@example.com
Camera,Electronics,681.61,2,2003-09-01,David White,david.white@example.com
Lego Set,Toys,20.96,5,2003-05-12,Alice Johnson,alice.johnson@example.com
Fiction Book,Books,355.78,1,2003-04-19,David White,david.white@example.com
Lego Set,Toys,925.94,2,2003-04-01,David White,david.white@example.com
Toaster,Home & Kitchen,622.77,5,2003-02-28,Charlie Brown,charlie.brown@example.com
Jacket,Clothing,34.58,4,2003-02-23,Charlie Brown,charlie.brown@example.com
Shirt,Clothing,573.76,4,2003-03-25,Charlie Brown,charlie.brown@example.com
Laptop,Electronics,901.49,3,2003-02-14,Emma Davis,emma.davis@example.com
Shoes,Clothing,701.26,4,2003-05-14,Alice Johnson,alice.johnson@example.com
Tablet,Electronics,458.6,5,2003-08-27,Emma Davis,emma.davis@example.com
Board Game,Toys,175.1,2,2003-04-11,Charlie Brown,charlie.brown@example.com
Jacket,Clothing,48.87,3,2003-06-18,Emma Davis,emma.davis@example.com
Laptop,Electronics,690.34,2,2003-02-18,David White,david.white@example.com
Fiction Book,Books,893.39,2,2003-12-19,David White,david.white@example.com
Doll,Toys,291.84,2,2003-07-15,Bob Smith,bob.smith@example.com
Jacket,Clothing,462.38,5,2003-12-23,Alice Johnson,alice.johnson@example.com
Puzzle,Toys,51.45,2,2003-03-01,Alice Johnson,alice.johnson@example.com
Laptop,Electronics,845.35,4,2003-03-21,Emma Davis,emma.davis@example.com
Toaster,Home & Kitchen,164.44,2,2003-06-16,Charlie Brown,charlie.brown@example.com
Shoes,Clothing,255.99,4,2003-08-10,Alice Johnson,alice.johnson@example.com
Jeans,Clothing,543.09,2,2003-05-04,Charlie Brown,charlie.brown@example.com
