transaction_id,product_name,category,price,quantity,date,customer_name,customer_email
5115,Backpack,Fashion,1011.34,2,2003-01-05,Customer 264,customer124@example.com
8483,Headphones,Electronics,1515.63,10,2003-01-05,Customer 72,customer349@example.com
7337,Backpack,Fashion,51.15,3,2003-01-05,Customer 370,customer320@example.com
3100,Tablet,Electronics,1475.16,7,2003-01-05,Customer 4,customer391@example.com
1251,Tablet,Electronics,1004.91,9,2003-01-05,Customer 460,customer297@example.com
3773,Running Shoes,Sports,288.4,7,2003-01-05,Customer 130,customer91@example.com
8272,Watch,Accessories,1908.8,7,2003-01-12,Customer 333,customer109@example.com
8429,Backpack,Fashion,253.86,1,2003-01-12,Customer 86,customer310@example.com
6166,Headphones,Electronics,1053.36,4,2003-01-12,Customer 52,customer390@example.com
7740,Smartphone,Electronics,1259.32,1,2003-01-12,Customer 67,customer152@example.com
4158,Office Chair,Furniture,819.75,4,2003-01-12,Customer 319,customer421@example.com
5094,Backpack,Fashion,840.92,9,2003-01-12,Customer 496,customer311@example.com
9337,Watch,Accessories,139.63,9,2003-01-12,Customer 477,customer31@example.com
8417,Running Shoes,Sports,1886.76,10,2003-01-19,Customer 383,customer173@example.com
6259,Smartphone,Electronics,949.03,3,2003-01-19,Customer 181,customer420@example.com
6495,Watch,Accessories,743.39,2,2003-01-19,Customer 421,customer285@example.com
3143,Gaming Laptop,Accessories,1175.41,10,2003-01-19,Customer 250,customer444@example.com
1190,Running Shoes,Sports,442.62,1,2003-01-19,Customer 23,customer20@example.com
4178,Backpack,Fashion,1885.76,6,2003-01-19,Customer 173,customer272@example.com
4818,Running Shoes,Sports,866.05,9,2003-01-19,Customer 94,customer294@example.com
5929,Backpack,Fashion,1164.63,7,2003-01-26,Customer 474,customer452@example.com
8702,Headphones,Electronics,116.41,3,2003-01-26,Customer 51,customer145@example.com
3660,Headphones,Electronics,921.67,1,2003-01-26,Customer 18,customer75@example.com
8079,Tablet,Electronics,689.97,8,2003-01-26,Customer 391,customer367@example.com
6056,Gaming Laptop,Accessories,1095.69,8,2003-02-02,Customer 249,customer67@example.com
8049,Tablet,Electronics,1297.37,3,2003-02-02,Customer 482,customer4@example.com
8825,Watch,Accessories,1692.68,1,2003-02-02,Customer 148,customer96@example.com
7024,Gaming Laptop,Accessories,625.11,6,2003-02-02,Customer 391,customer262@example.com
5434,Headphones,Electronics,217.83,6,2003-02-02,Customer 403,customer98@example.com
8531,Watch,Accessories,946.97,9,2003-02-02,Customer 426,customer94@example.com
6626,Office Chair,Furniture,930.39,1,2003-02-02,Customer 500,customer282@example.com
5531,Headphones,Electronics,1550.59,7,2003-02-09,Customer 84,customer337@example.com
4325,Running Shoes,Sports,1084.5,3,2003-02-09,Customer 269,customer83@example.com
7989,Running Shoes,Sports,1986.38,6,2003-02-09,Customer 285,customer221@example.com
7181,Office Chair,Furniture,1779.73,3,2003-02-16,Customer 438,customer446@example.com
9263,Smartphone,Electronics,451.53,4,2003-02-16,Customer 336,customer62@example.com
1627,Gaming Laptop,Accessories,944.53,7,2003-02-16,Customer 486,customer472@example.com
6859,Watch,Accessories,496.68,9,2003-02-16,Customer 499,customer43@example.com
5154,Running Shoes,Sports,1348.0,7,2003-02-16,Customer 398,customer316@example.com
8527,Headphones,Electronics,116.87,2,2003-02-23,Customer 259,customer366@example.com
5444,Tablet,Electronics,1765.51,2,2003-02-23,Customer 12,customer218@example.com
3773,Watch,Accessories,1050.14,10,2003-02-23,Customer 151,customer15@example.com
7889,Office Chair,Furniture,273.95,6,2003-02-23,Customer 36,customer22@example.com
4851,Running Shoes,Sports,1230.9,5,2003-02-23,Customer 81,customer468@example.com
6556,Backpack,Fashion,1885.83,7,2003-02-23,Customer 18,customer162@example.com
2480,Running Shoes,Sports,785.87,2,2003-02-23,Customer 285,customer125@example.com
3579,Smartphone,Electronics,1721.02,9,2003-03-02,Customer 7,customer52@example.com
7618,Smartphone,Electronics,1832.76,1,2003-03-02,Customer 241,customer359@example.com
8709,Gaming Laptop,Accessories,898.92,5,2003-03-02,Customer 263,customer102@example.com
9592,Tablet,Electronics,1412.49,1,2003-03-02,Customer 343,customer153@example.com
4302,Headphones,Electronics,1981.72,3,2003-03-02,Customer 201,customer380@example.com
1055,Headphones,Electronics,772.85,2,2003-03-09,Customer 180,customer284@example.com
6009,Gaming Laptop,Accessories,1777.39,3,2003-03-09,Customer 399,customer264@example.com
8959,Watch,Accessories,1405.02,6,2003-03-09,Customer 94,customer140@example.com
7467,Tablet,Electronics,1120.89,7,2003-03-09,Customer 319,customer316@example.com
1387,Office Chair,Furniture,1755.79,9,2003-03-09,Customer 284,customer178@example.com
3209,Office Chair,Furniture,1338.08,7,2003-03-09,Customer 418,customer99@example.com
3333,Running Shoes,Sports,1225.1,2,2003-03-09,Customer 379,customer345@example.com
3291,Running Shoes,Sports,1511.68,4,2003-03-09,Customer 148,customer400@example.com
7815,Smartphone,Electronics,687.66,6,2003-03-09,Customer 418,customer159@example.com
2437,Tablet,Electronics,668.98,2,2003-03-09,Customer 490,customer26@example.com
9175,Gaming Laptop,Accessories,1472.41,1,2003-03-16,Customer 206,customer12@example.com
3858,Headphones,Electronics,1383.81,10,2003-03-16,Customer 87,customer272@example.com
8534,Headphones,Electronics,1056.56,9,2003-03-16,Customer 186,customer70@example.com
3399,Running Shoes,Sports,631.37,9,2003-03-16,Customer 83,customer341@example.com
2702,Backpack,Fashion,377.39,2,2003-03-16,Customer 47,customer94@example.com
2232,Gaming Laptop,Accessories,1515.7,7,2003-03-23,Customer 415,customer229@example.com
9248,Backpack,Fashion,279.78,4,2003-03-23,Customer 243,customer346@example.com
7769,Smartphone,Electronics,1889.1,8,2003-03-23,Customer 345,customer382@example.com
5493,Tablet,Electronics,1384.7,10,2003-03-23,Customer 182,customer95@example.com
4325,Backpack,Fashion,817.58,2,2003-03-23,Customer 305,customer489@example.com
4662,Headphones,Electronics,1975.41,8,2003-03-30,Customer 156,customer286@example.com
2893,Smartphone,Electronics,1658.67,8,2003-03-30,Customer 369,customer400@example.com
5479,Smartphone,Electronics,558.47,1,2003-03-30,Customer 84,customer347@example.com
4399,Office Chair,Furniture,1951.8,4,2003-03-30,Customer 75,customer242@example.com
7147,Running Shoes,Sports,1047.6,3,2003-04-06,Customer 282,customer471@example.com
2097,Office Chair,Furniture,1901.85,9,2003-04-06,Customer 359,customer211@example.com
2116,Backpack,Fashion,1837.73,4,2003-04-06,Customer 425,customer356@example.com
1537,Gaming Laptop,Accessories,610.79,2,2003-04-06,Customer 347,customer438@example.com
4951,Watch,Accessories,1644.91,5,2003-04-06,Customer 435,customer432@example.com
8777,Backpack,Fashion,436.04,1,2003-04-06,Customer 340,customer166@example.com
4775,Office Chair,Furniture,873.59,3,2003-04-06,Customer 66,customer468@example.com
6265,Tablet,Electronics,1783.59,6,2003-04-06,Customer 179,customer26@example.com
1261,Headphones,Electronics,1352.9,8,2003-04-06,Customer 11,customer134@example.com
6306,Gaming Laptop,Accessories,523.31,2,2003-04-13,Customer 482,customer347@example.com
1111,Backpack,Fashion,1217.54,10,2003-04-13,Customer 205,customer8@example.com
9261,Gaming Laptop,Accessories,1321.59,3,2003-04-13,Customer 61,customer478@example.com
8718,Smartphone,Electronics,647.92,2,2003-04-20,Customer 415,customer151@example.com
8953,Headphones,Electronics,1114.52,2,2003-04-20,Customer 469,customer320@example.com
5354,Running Shoes,Sports,464.4,2,2003-04-20,Customer 9,customer495@example.com
4917,Tablet,Electronics,485.24,4,2003-04-20,Customer 295,customer404@example.com
4809,Headphones,Electronics,626.66,6,2003-04-20,Customer 411,customer323@example.com
9814,Backpack,Fashion,1712.61,3,2003-04-20,Customer 82,customer347@example.com
7252,Smartphone,Electronics,423.51,6,2003-04-20,Customer 275,customer369@example.com
2278,Backpack,Fashion,1092.83,3,2003-04-27,Customer 138,customer371@example.com
