transaction_id,product_name,category,price,quantity,date,customer_name,customer_email
1,Running Shoes,Sports,560.97,9,2024-03-10,Cameron Martin,akeller@yahoo.com
2,Office Chair,Furniture,1371.39,7,2024-12-31,Joshua Ellis,riveranicholas@hotmail.com
3,Tablet,Furniture,620.46,5,2024-06-22,Jessica Price,nathanhill@johnson-montes.com
4,Headphones,Electronics,827.16,7,2024-01-30,,smithlawrence@gmail.com
5,Gaming Laptop,Accessories,1663.99,7,2024-11-11,Melissa Snow,nicolenguyen@thompson.net
6,Gaming Laptop,Accessories,700.67,10,2024-08-16,,melissaadams@rogers.org
7,Tablet,Accessories,868.09,10,2024-11-05,Adam Hughes,ocarr@hotmail.com
8,Wireless Mouse,Stationery,1053.81,7,2024-07-21,Brandon Hess,miranda35@contreras.org
9,Gaming Laptop,Stationery,1891.53,9,2024-09-03,,vancerichard@gmail.com
10,Wireless Mouse,Electronics,1547.25,4,2024-01-28,Elizabeth Cook,olyons@shelton-harvey.org
11,Gaming Laptop,Appliances,1692.78,2,2024-09-14,Taylor Herman,novaktimothy@hotmail.com
12,Gaming Laptop,Electronics,1940.82,8,2024-04-13,Rebecca Pratt,kristy84@maxwell-patel.com
13,Gaming Laptop,Electronics,189.83,6,2024-05-21,Mr. Gary Sanchez,jennifer53@gmail.com
14,Coffee Mug,Electronics,1950.2,9,2024-04-10,Richard Martin,aprilvazquez@gmail.com
15,Headphones,Appliances,1821.67,10,2024-01-16,Dennis Archer,timothystewart@walker.net
16,Backpack,Appliances,1338.36,8,2024-02-07,Daniel Johnson,rcarr@gmail.com
17,Coffee Mug,Accessories,1332.11,10,2024-04-06,Lori Garcia,kathleen92@richards.com
18,Running Shoes,Sports,846.25,6,2024-12-27,,jcarter@hotmail.com
19,Notebook,Stationery,160.02,2,2024-05-28,Rebecca Gay,wolfebrenda@yahoo.com
20,Coffee Mug,Furniture,344.14,1,2024-11-07,,patrick36@hotmail.com
21,Running Shoes,Stationery,1775.9,10,2024-02-25,,johnsonbrian@gmail.com
22,Running Shoes,Furniture,507.94,8,2024-03-16,Jennifer Sanchez,
23,Gaming Laptop,Furniture,1721.83,5,2024-09-09,Daniel Thomas,martintara@villarreal.com
24,Coffee Mug,Stationery,951.48,10,2024-01-22,Sara Osborne,hknox@hotmail.com
25,Office Chair,Stationery,1714.83,7,2024-09-14,Robert Marquez,lisa59@long.com
26,Office Chair,Stationery,1681.94,4,2024-06-18,Eric Stewart,michellebenitez@gmail.com
27,Wireless Mouse,Accessories,632.82,6,2024-12-13,Lori Henson,gonzalezlisa@harding.com
28,Running Shoes,Sports,62.11,1,2024-09-10,Leslie Gates,martinezalex@yahoo.com
29,Headphones,Appliances,1093.71,9,2024-10-27,Richard Woods,
30,Tablet,Electronics,1343.85,10,2024-08-26,Erica Norton,bmaynard@gmail.com
31,Gaming Laptop,Accessories,560.36,1,2024-10-18,,taylorchad@hotmail.com
32,Office Chair,Furniture,1914.0,1,2024-08-26,Gregory Coleman,becksusan@richardson-benson.org
33,Running Shoes,Furniture,310.6,6,2024-11-12,Sheena Juarez,halerobert@gmail.com
34,Wireless Mouse,Stationery,1442.12,5,2024-05-17,Michelle Harmon,shannon52@james.com
35,Smartphone,Accessories,858.94,6,2024-05-13,Marie Moreno,rrasmussen@walton.com
36,Coffee Mug,Furniture,1024.76,2,2024-02-28,Fred Nelson,sharonsummers@yahoo.com
37,Backpack,Sports,1431.89,10,2025-01-02,Cody Miller,otaylor@walker.org
38,Tablet,Accessories,557.92,7,2024-06-22,Michelle Campbell,fisherkaren@yahoo.com
39,Gaming Laptop,Electronics,1171.61,4,2024-10-19,,brandonhart@yahoo.com
40,Notebook,Furniture,83.26,4,2024-06-01,Megan Franco,greerbeth@gmail.com
41,Notebook,Furniture,669.54,3,2024-10-15,Michael Best,robertmiller@bryant.com
42,Headphones,Appliances,1430.01,4,2024-10-01,Jackie Oliver,zwilliams@erickson-chen.biz
43,Office Chair,Sports,1159.38,10,2024-07-12,,
44,Office Chair,Sports,1641.02,3,2024-10-11,,janemoore@peters-mosley.com
45,Running Shoes,Stationery,1172.61,3,2024-10-23,Jacob Daniel,wellsmaria@palmer.com
46,Headphones,Accessories,695.49,7,2024-10-19,Randy Miller,jtorres@yahoo.com
47,Tablet,Accessories,721.86,10,2024-09-29,Andrea Hansen,cassidy45@hotmail.com
48,Coffee Mug,Furniture,1346.06,3,2024-12-17,Carl Davis,cfreeman@vargas-andersen.com
49,Notebook,Accessories,422.97,5,2024-04-19,,aaron64@dixon.biz
50,Running Shoes,Accessories,362.26,9,2024-08-28,George Solis,pmorris@gmail.com
51,Running Shoes,Accessories,1024.3,10,2024-06-03,Kristi Bennett,stephanie15@gonzales.com
52,Headphones,Appliances,1803.48,10,2024-12-13,Michael Garcia,wruiz@martinez.biz
53,Wireless Mouse,Appliances,1242.5,1,2024-12-07,Christine Bowman,pmiller@yahoo.com
54,Smartphone,Accessories,571.31,1,2024-02-20,Zachary Nash,ujones@mckenzie.info
55,Gaming Laptop,Sports,442.76,5,2024-12-30,Frank Lewis,
56,Office Chair,Sports,710.35,2,2025-01-03,Elizabeth Pierce,meghan06@gmail.com
57,Coffee Mug,Accessories,387.22,6,2024-06-10,Christopher Simon,tpowers@gmail.com
58,Office Chair,Furniture,1754.9,9,2024-12-06,Matthew Jenkins,savannah05@mcgrath-clark.com
59,Backpack,Appliances,970.16,5,2024-06-17,Elizabeth Miller,
60,Gaming Laptop,Accessories,1997.12,9,2024-06-23,Bryan Barnes,laura55@yahoo.com
61,Gaming Laptop,Electronics,1599.99,2,2024-11-18,Sean Marks,fernandezmatthew@gmail.com
62,Coffee Mug,Accessories,234.83,1,2024-09-10,Mr. Christopher Hoffman DDS,wsanchez@hotmail.com
63,Coffee Mug,Stationery,1838.36,9,2024-09-26,Mark Simmons,kimberly00@smith.org
64,Backpack,Furniture,780.85,8,2024-07-23,Michele Morgan,
65,Wireless Mouse,Electronics,1910.6,1,2024-08-14,Larry Moses,michael84@gmail.com
66,Tablet,Accessories,1530.85,5,2024-12-12,Rebecca Roberson,
67,Running Shoes,Furniture,676.36,7,2024-01-29,Eric Mendez,petersmorgan@gmail.com
68,Backpack,Appliances,1555.85,5,2024-03-26,,
69,Backpack,Stationery,1109.99,5,2024-04-22,Susan Myers,
70,Gaming Laptop,Furniture,1944.54,9,2024-01-20,Mark Rivera,johnsmith@yahoo.com
71,Smartphone,Stationery,1262.0,1,2024-11-07,Sarah Mckinney,
72,Gaming Laptop,Furniture,583.92,7,2024-07-29,Sheila Adams,jacksondonald@jacobs-hopkins.com
73,Running Shoes,Stationery,1852.41,4,2024-08-28,Matthew Thomas,
74,Backpack,Accessories,1214.8,5,2024-07-01,Melissa Smith,brauntonya@gmail.com
75,Notebook,Furniture,119.59,3,2024-02-28,Nicholas Taylor,patricia73@rojas.com
76,Gaming Laptop,Appliances,242.89,10,2024-08-28,William Davis,alejandrohernandez@cook.com
77,Backpack,Stationery,1150.52,1,2024-07-03,Anthony Jones,qgonzalez@hammond-hooper.org
78,Backpack,Stationery,114.23,4,2024-05-27,Elizabeth Williams,kim68@gmail.com
79,Running Shoes,Electronics,1563.95,7,2024-06-11,,desireestevens@hotmail.com
80,Backpack,Appliances,766.95,7,2024-10-14,Sean Kemp,reneehumphrey@davis.com
81,Coffee Mug,Sports,1629.38,3,2024-03-15,Heather Ray,owensjeanne@yahoo.com
82,Coffee Mug,Accessories,1455.5,6,2024-04-05,Justin Mendoza,doyleariel@hutchinson-jackson.biz
83,Wireless Mouse,Accessories,760.91,1,2024-09-05,Julia Sawyer,jasonweiss@gmail.com
84,Tablet,Electronics,741.29,6,2024-01-04,Kathryn Taylor,fgarcia@turner.com
85,Headphones,Electronics,1052.69,2,2024-11-11,Bryan Alexander,dwayne44@hotmail.com
86,Wireless Mouse,Furniture,237.29,10,2024-04-17,Jeffrey Stephens,marywilson@hawkins.com
87,Running Shoes,Accessories,41.16,9,2024-07-03,Christopher Soto,vblackwell@gmail.com
88,Wireless Mouse,Appliances,1477.49,6,2024-07-09,Sierra Vargas,douglas63@yahoo.com
89,Coffee Mug,Appliances,406.32,2,2024-09-18,Anne Glass,ibailey@deleon-pratt.biz
90,Office Chair,Furniture,1153.88,9,2024-01-23,Cameron Carney,amber80@yahoo.com
91,Running Shoes,Accessories,1965.17,9,2024-01-24,Martin Willis,qbryant@tran.com
92,Backpack,Sports,1751.8,6,2024-06-12,Savannah Gilbert,
93,Coffee Mug,Stationery,968.09,5,2024-02-08,Joseph Rivera,cbailey@yahoo.com
94,Tablet,Sports,1549.06,3,2024-04-11,,robinsonbarry@ward-wang.org
95,Backpack,Accessories,87.85,1,2024-11-08,Dylan Clark,kyates@guerrero-kennedy.info
96,Tablet,Electronics,366.08,9,2024-10-18,,sydney59@yahoo.com
97,Gaming Laptop,Furniture,1827.32,3,2024-01-23,Jeffrey Carrillo,angelamoore@gmail.com
98,Gaming Laptop,Electronics,767.92,6,2024-11-15,Dr. Joshua Dunn,devinneal@yahoo.com
99,Tablet,Sports,648.47,7,2024-03-09,Christopher Garner,morenolisa@rivera.com
100,Headphones,Furniture,1325.95,7,2024-02-23,Amanda Johns,williamandrade@welch-brady.info
101,Wireless Mouse,Furniture,1836.12,10,2024-09-08,Robert Parker,qortiz@mercer.com
102,Wireless Mouse,Appliances,1723.0,10,2024-06-05,Alex Woods,courtney49@brown.biz
103,Smartphone,Appliances,800.93,7,2024-11-08,Michael Velez,charles77@andrews-bowen.com
104,Notebook,Electronics,1630.26,6,2024-01-18,Jose Stanton,wilsonhannah@dean-wilson.com
105,Headphones,Accessories,1178.2,5,2024-12-27,Rachel Holmes,gloverkelly@hotmail.com
106,Wireless Mouse,Appliances,1303.07,7,2024-11-15,Dr. Dylan Carter DDS,scott98@hotmail.com
107,Running Shoes,Accessories,1164.93,7,2024-11-12,Richard Brown,lgarcia@summers.com
108,Coffee Mug,Electronics,97.63,6,2024-01-22,Mary Ford,seth98@burke.com
109,Notebook,Sports,763.08,5,2024-01-20,,cstevens@hotmail.com
110,Smartphone,Accessories,818.09,1,2024-08-25,Michael Brown,william84@yahoo.com
111,Notebook,Stationery,1179.04,4,2024-04-11,Kristy Colon,xgarcia@schwartz.info
112,Coffee Mug,Accessories,1515.08,8,2024-10-09,Mark Fowler,qsmith@hotmail.com
113,Wireless Mouse,Sports,28.36,8,2024-01-15,Brandon Edwards,
114,Coffee Mug,Appliances,1301.23,5,2024-09-05,Donald Bailey,nheath@shelton-meza.com
115,Smartphone,Sports,1086.78,1,2024-12-13,,jessica02@hotmail.com
116,Smartphone,Accessories,927.13,8,2024-06-13,Timothy Moreno,collin05@jimenez.com
117,Coffee Mug,Appliances,555.18,10,2024-09-07,Randy Williams,coryadams@christian-ingram.biz
118,Backpack,Electronics,922.17,1,2024-04-28,Andrew Carter,jallison@brown-barker.com
119,Running Shoes,Stationery,733.04,8,2024-10-09,Keith Bowers,tpena@gmail.com
120,Office Chair,Sports,203.6,3,2024-06-27,Heather Wise,johnspence@sanchez.com
121,Tablet,Furniture,839.83,7,2024-07-03,Courtney Martinez,kathleen50@kelley.com
122,Backpack,Electronics,723.78,9,2024-08-20,Ashley White,amber17@barnett.com
123,Tablet,Sports,1651.69,3,2024-09-16,,tdavis@hotmail.com
124,Office Chair,Accessories,1468.93,7,2024-04-23,Madison Jenkins,jacquelinejohnson@patel-reilly.biz
125,Smartphone,Furniture,1127.77,8,2024-11-20,Madison Mitchell MD,stevenking@gmail.com
